station_name,station_id,station_lat,station_lng
Eckhart Park,86.0,41.8964,-87.661
Drake Ave & Fullerton Ave,503.0,41.9244,-87.7154
McClurg Ct & Erie St,142.0,41.8945,-87.6179
California Ave & Division St,216.0,41.903,-87.6975
Rush St & Hubbard St,125.0,41.8902,-87.6262
Mies van der Rohe Way & Chicago Ave,173.0,41.8969,-87.6217
Streeter Dr & Grand Ave,35.0,41.8923,-87.612
Ogden Ave & Roosevelt Rd,434.0,41.8665,-87.6847
LaSalle Dr & Huron St,627.0,41.8949,-87.6323
Kedzie Ave & Lake St,377.0,41.8846,-87.7063
Central Park Ave & North Ave,508.0,41.9097,-87.7166
Western Ave & Walton St,374.0,41.8984,-87.6866
Wabash Ave & 9th St,321.0,41.8708,-87.6257
Leavitt St & Archer Ave,9.0,41.8288,-87.6806
Clark St & Lincoln Ave,141.0,41.9157,-87.6346
900 W Harrison St,109.0,41.8748,-87.6498
Museum of Science and Industry,424.0,41.7917,-87.5839
Ashland Ave & Grace St,347.0,41.9507,-87.6687
Green St & Madison St,198.0,41.8819,-87.6488
Ravenswood Ave & Lawrence Ave,344.0,41.9691,-87.6742
Southport Ave & Waveland Ave,227.0,41.9482,-87.6639
Evanston Civic Center,661.0,42.057,-87.6866
Lincoln Ave & Fullerton Ave,127.0,41.9259,-87.6493
Aberdeen St & Monroe St,80.0,41.8804,-87.6555
Clinton St & Madison St,77.0,41.8822,-87.6411
Ada St & Washington Blvd,346.0,41.8828,-87.6612
Lake Shore Dr & Diversey Pkwy,329.0,41.9326,-87.6364
Fairbanks St & Superior St,635.0,41.8957,-87.6201
Leavitt St & Chicago Ave,659.0,41.8955,-87.682
Wolcott Ave & Polk St,342.0,41.8713,-87.6737
Rush St & Superior St,161.0,41.8958,-87.6259
Racine Ave & Randolph St,88.0,41.8841,-87.6569
Sheffield Ave & Fullerton Ave,67.0,41.9256,-87.6537
Franklin St & Lake St,164.0,41.8858,-87.6355
MLK Jr Dr & 29th St,237.0,41.8421,-87.617
Halsted St & 35th St,279.0,41.8307,-87.6472
Canal St & Taylor St,414.0,41.8703,-87.6395
Racine Ave & 35th St,367.0,41.8307,-87.656
Wabash Ave & Roosevelt Rd,59.0,41.8672,-87.626
Lake Shore Dr & Wellington Ave,157.0,41.9367,-87.6368
